reference,conservation-area,name,documentation-url,document-url,document-type,notes,organisation,entry_date,start_date,end_date
D_81_CHL_CA10_1,81_CHL_CA10,"Battlesbridge","https://www.chelmsford.gov.uk/planning-and-building-control/conservation-areas-and-listed-buildings/conservation-areas-in-chelmsford/","https://www.chelmsford.gov.uk/media/yg3bbb1g/battlesbridge-conservation-area.pdf",area-appraisal,"Best Map is shown on page 1 or P21 of the appraisal document. ",local-authority:CHL,,,
D_81_CHL_CA11_1,81_CHL_CA11,"Boreham","https://www.chelmsford.gov.uk/planning-and-building-control/conservation-areas-and-listed-buildings/conservation-areas-in-chelmsford/","https://www.chelmsford.gov.uk/media/regoncve/boreham-conservation-area.pdf",area-appraisal,"2 areas?Best Map is shown on page 18, P19 of the appraisal document. ",local-authority:CHL,,,
D_81_CHL_CA12_1,81_CHL_CA12,"Broomfield","https://www.chelmsford.gov.uk/planning-and-building-control/conservation-areas-and-listed-buildings/conservation-areas-in-chelmsford/","https://www.chelmsford.gov.uk/media/5ksfceff/broomfield-conservation-area.pdf",area-appraisal,"Best Map is shown on page 12 of the appraisal document. ",local-authority:CHL,,,
D_81_CHL_CA13_1,81_CHL_CA13,"Danbury","https://www.chelmsford.gov.uk/planning-and-building-control/conservation-areas-and-listed-buildings/conservation-areas-in-chelmsford/","No Appraisal document",area-appraisal,"",local-authority:CHL,,,
D_81_CHL_CA13_2,81_CHL_CA13,"Danbury","https://www.chelmsford.gov.uk/planning-and-building-control/conservation-areas-and-listed-buildings/conservation-areas-in-chelmsford/",https://www.chelmsford.gov.uk/media/ljsd3kgr/danbury-conservation-area.pdf,area-map,"",local-authority:CHL,,,
D_81_CHL_CA14_1,81_CHL_CA14,"East Hanningfield The Tye","https://www.chelmsford.gov.uk/planning-and-building-control/conservation-areas-and-listed-buildings/conservation-areas-in-chelmsford/","No Appraisal document",area-appraisal,"",local-authority:CHL,,,
D_81_CHL_CA14_2,81_CHL_CA14,"East Hanningfield The Tye","https://www.chelmsford.gov.uk/planning-and-building-control/conservation-areas-and-listed-buildings/conservation-areas-in-chelmsford/",https://www.chelmsford.gov.uk/media/bjgkp04i/east-hanningfield-the-tye-conservation-area.pdf,area-map,"",local-authority:CHL,,,
D_81_CHL_CA15_1,81_CHL_CA15,"Good Easter","https://www.chelmsford.gov.uk/planning-and-building-control/conservation-areas-and-listed-buildings/conservation-areas-in-chelmsford/","No Appraisal document",area-appraisal,"",local-authority:CHL,,,
D_81_CHL_CA15_2,81_CHL_CA15,"Good Easter","https://www.chelmsford.gov.uk/planning-and-building-control/conservation-areas-and-listed-buildings/conservation-areas-in-chelmsford/",https://www.chelmsford.gov.uk/media/ibclisog/good-easter-conservation-area.pdf,area-map,"",local-authority:CHL,,,
D_81_CHL_CA16_1,81_CHL_CA16,"Great Baddow","https://www.chelmsford.gov.uk/planning-and-building-control/conservation-areas-and-listed-buildings/conservation-areas-in-chelmsford/","No Appraisal document",area-appraisal,"",local-authority:CHL,,,
D_81_CHL_CA16_2,81_CHL_CA16,"Great Baddow","https://www.chelmsford.gov.uk/planning-and-building-control/conservation-areas-and-listed-buildings/conservation-areas-in-chelmsford/",https://www.chelmsford.gov.uk/media/1tzph4tj/great-baddow-conservation-area.pdf,area-map,"",local-authority:CHL,,,
D_81_CHL_CA17_1,81_CHL_CA17,"Great Waltham","https://www.chelmsford.gov.uk/planning-and-building-control/conservation-areas-and-listed-buildings/conservation-areas-in-chelmsford/","No Appraisal document",area-appraisal,"",local-authority:CHL,,,
D_81_CHL_CA17_2,81_CHL_CA17,"Great Waltham","https://www.chelmsford.gov.uk/planning-and-building-control/conservation-areas-and-listed-buildings/conservation-areas-in-chelmsford/",https://www.chelmsford.gov.uk/media/eibbgya1/great-waltham-conservation-area.pdf,area-map,"",local-authority:CHL,,,
D_81_CHL_CA18_1,81_CHL_CA18,"Little Waltham","https://www.chelmsford.gov.uk/planning-and-building-control/conservation-areas-and-listed-buildings/conservation-areas-in-chelmsford/","No Appraisal document",area-appraisal,"",local-authority:CHL,,,
D_81_CHL_CA18_2,81_CHL_CA18,"Little Waltham","https://www.chelmsford.gov.uk/planning-and-building-control/conservation-areas-and-listed-buildings/conservation-areas-in-chelmsford/",https://www.chelmsford.gov.uk/media/5dbpv4sk/little-waltham-conservation-area.pdf,area-map,"",local-authority:CHL,,,
D_81_CHL_CA19_1,81_CHL_CA19,"Margaretting","https://www.chelmsford.gov.uk/planning-and-building-control/conservation-areas-and-listed-buildings/conservation-areas-in-chelmsford/","No Appraisal document",area-appraisal,"",local-authority:CHL,,,
D_81_CHL_CA19_2,81_CHL_CA19,"Margaretting","https://www.chelmsford.gov.uk/planning-and-building-control/conservation-areas-and-listed-buildings/conservation-areas-in-chelmsford/",https://www.chelmsford.gov.uk/media/uvnlc1n5/margaretting-conservation-area.pdf,area-map,"",local-authority:CHL,,,
D_81_CHL_CA20_1,81_CHL_CA20,"Pleshey","https://www.chelmsford.gov.uk/planning-and-building-control/conservation-areas-and-listed-buildings/conservation-areas-in-chelmsford/","No Appraisal document",area-appraisal,"",local-authority:CHL,,,
D_81_CHL_CA20_2,81_CHL_CA20,"Pleshey","https://www.chelmsford.gov.uk/planning-and-building-control/conservation-areas-and-listed-buildings/conservation-areas-in-chelmsford/",https://www.chelmsford.gov.uk/media/nvhb2jna/pleshey-conservation-area.pdf,area-map,"",local-authority:CHL,,,
D_81_CHL_CA21_1,81_CHL_CA21,"Roxwell","https://www.chelmsford.gov.uk/planning-and-building-control/conservation-areas-and-listed-buildings/conservation-areas-in-chelmsford/","No Appraisal document",area-appraisal,"",local-authority:CHL,,,
D_81_CHL_CA21_2,81_CHL_CA21,"Roxwell","https://www.chelmsford.gov.uk/planning-and-building-control/conservation-areas-and-listed-buildings/conservation-areas-in-chelmsford/",https://www.chelmsford.gov.uk/media/cvnitskh/roxwell-conservation-area.pdf,area-map,"",local-authority:CHL,,,
D_81_CHL_CA22_1,81_CHL_CA22,"Sandon","https://www.chelmsford.gov.uk/planning-and-building-control/conservation-areas-and-listed-buildings/conservation-areas-in-chelmsford/","No Appraisal document",area-appraisal,"",local-authority:CHL,,,
D_81_CHL_CA22_2,81_CHL_CA22,"Sandon","https://www.chelmsford.gov.uk/planning-and-building-control/conservation-areas-and-listed-buildings/conservation-areas-in-chelmsford/",https://www.chelmsford.gov.uk/media/hmjdvw5u/sandon-conservation-area.pdf,area-map,"",local-authority:CHL,,,
D_81_CHL_CA23_1,81_CHL_CA23,"Springfield Green","https://www.chelmsford.gov.uk/planning-and-building-control/conservation-areas-and-listed-buildings/conservation-areas-in-chelmsford/","No Appraisal document",area-appraisal,"",local-authority:CHL,,,
D_81_CHL_CA23_2,81_CHL_CA23,"Springfield Green","https://www.chelmsford.gov.uk/planning-and-building-control/conservation-areas-and-listed-buildings/conservation-areas-in-chelmsford/",https://www.chelmsford.gov.uk/media/b0ipwo5t/springfield-green-conservation-area.pdf,area-map,"",local-authority:CHL,,,
D_81_CHL_CA24_1,81_CHL_CA24,"Stock","https://www.chelmsford.gov.uk/planning-and-building-control/conservation-areas-and-listed-buildings/conservation-areas-in-chelmsford/","https://www.chelmsford.gov.uk/media/jn1lspxy/stock-conservation-area.pdf",area-appraisal,"Best Map is shown on page 1 of the appraisal document. ",local-authority:CHL,,,
D_81_CHL_CA25_1,81_CHL_CA25,"Writtle","https://www.chelmsford.gov.uk/planning-and-building-control/conservation-areas-and-listed-buildings/conservation-areas-in-chelmsford/","No Appraisal document",area-appraisal,"",local-authority:CHL,,,
D_81_CHL_CA25_2,81_CHL_CA25,"Writtle","https://www.chelmsford.gov.uk/planning-and-building-control/conservation-areas-and-listed-buildings/conservation-areas-in-chelmsford/",https://www.chelmsford.gov.uk/media/gacfifdc/writtle-conservation-area.pdf,area-map,"",local-authority:CHL,,,
