reference,conservation-area,name,documentation-url,document-url,document-type,notes,organisation,entry_date,start_date,end_date
D_288_SEV_CA22_1,288_SEV_CA22,"Leigh","https://www.sevenoaks.gov.uk/directory/3/conservation_areas","https://www.sevenoaks.gov.uk/download/downloads/id/2992/leigh_conservation_area_appraisal_2019.pdf",area-appraisal,"Best Map is shown on page 3 of the appraisal document. ",local-authority:SEV,,,
D_288_SEV_CA23_1,288_SEV_CA23,"Markbeech","https://www.sevenoaks.gov.uk/directory/3/conservation_areas","https://www.sevenoaks.gov.uk/download/downloads/id/457/area_appraisal.pdf",area-appraisal,"",local-authority:SEV,,,
D_288_SEV_CA23_2,288_SEV_CA23,"Markbeech","https://www.sevenoaks.gov.uk/directory/3/conservation_areas",https://www.sevenoaks.gov.uk/download/downloads/id/458/area_map.pdf,area-map,"",local-authority:SEV,,,
D_288_SEV_CA24_1,288_SEV_CA24,"Otford","https://www.sevenoaks.gov.uk/directory/3/conservation_areas","https://www.sevenoaks.gov.uk/download/downloads/id/459/area_appraisal.pdf",area-appraisal,"",local-authority:SEV,,,
D_288_SEV_CA24_2,288_SEV_CA24,"Otford","https://www.sevenoaks.gov.uk/directory/3/conservation_areas",https://www.sevenoaks.gov.uk/download/downloads/id/460/area_map.pdf,area-map,"",local-authority:SEV,,,
D_288_SEV_CA25_1,288_SEV_CA25,"Penshurst","https://www.sevenoaks.gov.uk/directory/3/conservation_areas","https://www.sevenoaks.gov.uk/download/downloads/id/461/area_appraisal.pdf",area-appraisal,"",local-authority:SEV,,,
D_288_SEV_CA25_2,288_SEV_CA25,"Penshurst","https://www.sevenoaks.gov.uk/directory/3/conservation_areas",https://www.sevenoaks.gov.uk/download/downloads/id/462/area_map.pdf,area-map,"",local-authority:SEV,,,
D_288_SEV_CA26_1,288_SEV_CA26,"Riverhead","https://www.sevenoaks.gov.uk/directory/3/conservation_areas","https://www.sevenoaks.gov.uk/download/downloads/id/463/area_appraisal_and_management_plan.pdf",area-appraisal,"",local-authority:SEV,,,
D_288_SEV_CA26_2,288_SEV_CA26,"Riverhead","https://www.sevenoaks.gov.uk/directory/3/conservation_areas",https://www.sevenoaks.gov.uk/download/downloads/id/789/area_map.pdf,area-map,"",local-authority:SEV,,,
D_288_SEV_CA27_1,288_SEV_CA27,"Seal","https://www.sevenoaks.gov.uk/directory/3/conservation_areas","https://www.sevenoaks.gov.uk/download/downloads/id/2994/seal_conservation_area_appraisal_2019.pdf",area-appraisal,"Best Map is shown on page 3 of the appraisal document. ",local-authority:SEV,,,
D_288_SEV_CA28_1,288_SEV_CA28,"Sevenoaks, Hartslands","https://www.sevenoaks.gov.uk/directory/3/conservation_areas","https://www.sevenoaks.gov.uk/download/downloads/id/439/area_appraisal.pdf",area-appraisal,"",local-authority:SEV,,,
D_288_SEV_CA28_2,288_SEV_CA28,"Sevenoaks, Hartslands","https://www.sevenoaks.gov.uk/directory/3/conservation_areas",https://www.sevenoaks.gov.uk/download/downloads/id/440/area_map.pdf,area-map,"",local-authority:SEV,,,
D_288_SEV_CA29_1,288_SEV_CA29,"Sevenoaks, High Street","https://www.sevenoaks.gov.uk/directory/3/conservation_areas","https://www.sevenoaks.gov.uk/download/downloads/id/467/area_appraisal_and_management_plan.pdf",area-appraisal,"",local-authority:SEV,,,
D_288_SEV_CA29_2,288_SEV_CA29,"Sevenoaks, High Street","https://www.sevenoaks.gov.uk/directory/3/conservation_areas",https://www.sevenoaks.gov.uk/download/downloads/id/468/area_map.pdf,area-map,"",local-authority:SEV,,,
D_288_SEV_CA30_1,288_SEV_CA30,"Sevenoaks, Kippington and Oakhill Road","https://www.sevenoaks.gov.uk/directory/3/conservation_areas","https://www.sevenoaks.gov.uk/download/downloads/id/453/area_appraisal.pdf",area-appraisal,"",local-authority:SEV,,,
D_288_SEV_CA30_2,288_SEV_CA30,"Sevenoaks, Kippington and Oakhill Road","https://www.sevenoaks.gov.uk/directory/3/conservation_areas",https://www.sevenoaks.gov.uk/download/downloads/id/454/area_map.pdf,area-map,"",local-authority:SEV,,,
D_288_SEV_CA31_1,288_SEV_CA31,"Sevenoaks, Weald","https://www.sevenoaks.gov.uk/directory/3/conservation_areas","https://www.sevenoaks.gov.uk/download/downloads/id/416/area_appraisal_and_management_plan.pdf",area-appraisal,"",local-authority:SEV,,,
D_288_SEV_CA31_2,288_SEV_CA31,"Sevenoaks, Weald","https://www.sevenoaks.gov.uk/directory/3/conservation_areas",https://www.sevenoaks.gov.uk/download/downloads/id/417/area_map.pdf,area-map,"",local-authority:SEV,,,
D_288_SEV_CA32_1,288_SEV_CA32,"Sevenoaks, Brittains Farm","https://www.sevenoaks.gov.uk/directory/3/conservation_areas","https://www.sevenoaks.gov.uk/download/downloads/id/402/area_appraisal.pdf",area-appraisal,"",local-authority:SEV,,,
D_288_SEV_CA32_2,288_SEV_CA32,"Sevenoaks, Brittains Farm","https://www.sevenoaks.gov.uk/directory/3/conservation_areas",https://www.sevenoaks.gov.uk/download/downloads/id/403/area_map.pdf,area-map,"",local-authority:SEV,,,
D_288_SEV_CA33_1,288_SEV_CA33,"Sevenoaks, Granville and Eardley Road","https://www.sevenoaks.gov.uk/directory/3/conservation_areas","https://www.sevenoaks.gov.uk/download/downloads/id/426/area_appraisal.pdf",area-appraisal,"",local-authority:SEV,,,
D_288_SEV_CA33_2,288_SEV_CA33,"Sevenoaks, Granville and Eardley Road","https://www.sevenoaks.gov.uk/directory/3/conservation_areas",https://www.sevenoaks.gov.uk/download/downloads/id/427/area_map.pdf,area-map,"",local-authority:SEV,,,
D_288_SEV_CA34_1,288_SEV_CA34,"Sevenoaks, The Vine","https://www.sevenoaks.gov.uk/directory/3/conservation_areas","https://www.sevenoaks.gov.uk/download/downloads/id/481/area_appraisal.pdf",area-appraisal,"",local-authority:SEV,,,
D_288_SEV_CA34_2,288_SEV_CA34,"Sevenoaks, The Vine","https://www.sevenoaks.gov.uk/directory/3/conservation_areas",https://www.sevenoaks.gov.uk/download/downloads/id/482/area_map.pdf,area-map,"",local-authority:SEV,,,
D_288_SEV_CA35_1,288_SEV_CA35,"Sevenoaks, Vine Court","https://www.sevenoaks.gov.uk/directory/3/conservation_areas","https://www.sevenoaks.gov.uk/download/downloads/id/844/area_appraisal.pdf",area-appraisal,"",local-authority:SEV,,,
D_288_SEV_CA35_2,288_SEV_CA35,"Sevenoaks, Vine Court","https://www.sevenoaks.gov.uk/directory/3/conservation_areas",https://www.sevenoaks.gov.uk/download/downloads/id/483/area_map.pdf,area-map,"",local-authority:SEV,,,
D_288_SEV_CA36_1,288_SEV_CA36,"Sevenoaks, Wildernesse","https://www.sevenoaks.gov.uk/directory/3/conservation_areas","https://www.sevenoaks.gov.uk/download/downloads/id/485/area_appraisal.pdf",area-appraisal,"",local-authority:SEV,,,
D_288_SEV_CA36_2,288_SEV_CA36,"Sevenoaks, Wildernesse","https://www.sevenoaks.gov.uk/directory/3/conservation_areas",https://www.sevenoaks.gov.uk/download/downloads/id/486/area_map.pdf,area-map,"",local-authority:SEV,,,
D_288_SEV_CA37_1,288_SEV_CA37,"Shoreham Conservation Area","https://www.sevenoaks.gov.uk/directory/3/conservation_areas","https://www.sevenoaks.gov.uk/download/downloads/id/2995/shoreham_conservation_area_appraisal_2019.pdf",area-appraisal,"Best Map is shown on page 3 of the appraisal document. ",local-authority:SEV,,,
D_288_SEV_CA38_1,288_SEV_CA38,"South Darenth","https://www.sevenoaks.gov.uk/directory/3/conservation_areas","https://www.sevenoaks.gov.uk/download/downloads/id/475/area_appraisal.pdf",area-appraisal,"",local-authority:SEV,,,
D_288_SEV_CA38_2,288_SEV_CA38,"South Darenth","https://www.sevenoaks.gov.uk/directory/3/conservation_areas",https://www.sevenoaks.gov.uk/download/downloads/id/476/area_map.pdf,area-map,"",local-authority:SEV,,,
D_288_SEV_CA39_1,288_SEV_CA39,"Sundridge","https://www.sevenoaks.gov.uk/directory/3/conservation_areas","https://www.sevenoaks.gov.uk/download/downloads/id/477/area_appraisal.pdf",area-appraisal,"",local-authority:SEV,,,
D_288_SEV_CA39_2,288_SEV_CA39,"Sundridge","https://www.sevenoaks.gov.uk/directory/3/conservation_areas",https://www.sevenoaks.gov.uk/download/downloads/id/478/area_map.pdf,area-map,"",local-authority:SEV,,,
D_288_SEV_CA40_1,288_SEV_CA40,"Swanley Village","https://www.sevenoaks.gov.uk/directory/3/conservation_areas","https://www.sevenoaks.gov.uk/downloads/file/2996/swanley_village_conservation_area_appraisal_2019",area-appraisal,"Best Map is shown on page 3 of the appraisal document. ",local-authority:SEV,,,
D_288_SEV_CA41_1,288_SEV_CA41,"Westerham","https://www.sevenoaks.gov.uk/directory/3/conservation_areas","https://www.sevenoaks.gov.uk/download/downloads/id/1005/area_appraisal.pdf",area-appraisal,"",local-authority:SEV,,,
D_288_SEV_CA41_2,288_SEV_CA41,"Westerham","https://www.sevenoaks.gov.uk/directory/3/conservation_areas",https://www.sevenoaks.gov.uk/download/downloads/id/1006/area_map.pdf,area-map,"",local-authority:SEV,,,
