reference,name,designation-date,document-url,documentation-url,geometry,point,notes,organisation,entry_date,start_date,end_date
87_CHW_CA49,"Great Budworth",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA50,"Handley",,"https://www.cheshirewestandchester.gov.uk/documents/planning-and-building-consultancy/total-environment/conservation-and-design/conservation-area-appraisals/20090319-HandleyCA-V01.pdf","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"Satellite Image, could be difficult to processBest Map is shown on page 1 of the appraisal document. ",local-authority:CHW,,,
87_CHW_CA51,"Hartford",,"https://www.cheshirewestandchester.gov.uk/documents/planning-and-building-consultancy/total-environment/conservation-and-design/conservation-area-appraisals/HartfordExtendedConservationArea.pdf","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"Best Map is shown on page 27 of the appraisal document. ",local-authority:CHW,,,
87_CHW_CA52,"Harthill",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA53,"Higher Carden",,"https://www.cheshirewestandchester.gov.uk/documents/planning-and-building-consultancy/total-environment/conservation-and-design/conservation-area-appraisals/20090319-HigherCardenCA-V01.pdf","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"Satellite Image, could be difficult to processBest Map is shown on page 1 of the appraisal document. ",local-authority:CHW,,,
87_CHW_CA54,"Higher Whitley",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA55,"Horsley Lane",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA56,"Ince",,"https://www.cheshirewestandchester.gov.uk/documents/planning-and-building-consultancy/total-environment/conservation-and-design/conservation-area-appraisals/inceconservationarea.pdf","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"Low qualityBest Map is shown on page 2 of the appraisal document. ",local-authority:CHW,,,
87_CHW_CA57,"Kelsall",,"https://www.cheshirewestandchester.gov.uk/documents/planning-and-building-consultancy/total-environment/conservation-and-design/conservation-area-appraisals/20090319-KelsallCA-V01.pdf","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"Satellite Image, could be difficult to processBest Map is shown on page 1 of the appraisal document. ",local-authority:CHW,,,
87_CHW_CA58,"Kingsley",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
