reference,conservation-area,name,documentation-url,document-url,document-type,notes,entry_date,start_date,end_date
D_281_SCA_CA10_2,281_SCA_CA10,The Kite,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#A10,https://greatercambridgeplanning.org/media/1638/the-kite-conservation-area-map.pdf,area-map,Extra documents are available. This has been collected by MHCLG,,,
D_281_SCA_CA11_1,281_SCA_CA11,Mill Road,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#A11,https://greatercambridgeplanning.org/media/1626/mill-road-conservation-area-appraisal-2011.pdf,area-appraisal,Extra documents are available. This has been collected by MHCLG,,,
D_281_SCA_CA11_2,281_SCA_CA11,Mill Road,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#A11,https://greatercambridgeplanning.org/media/1639/mill-road-conservation-area-map.pdf,area-map,Extra documents are available. This has been collected by MHCLG,,,
D_281_SCA_CA12_1,281_SCA_CA12,New Town and Glisson Road,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#A12,https://greatercambridgeplanning.org/media/1628/new-town-and-glisson-road-conservation-area-appraisal-2012.pdf,area-appraisal,Extra documents are available. This has been collected by MHCLG,,,
D_281_SCA_CA12_2,281_SCA_CA12,New Town and Glisson Road,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#A12,https://greatercambridgeplanning.org/media/1641/new-town-and-glisson-road-conservation-area-map.pdf,area-map,Extra documents are available. This has been collected by MHCLG,,,
D_281_SCA_CA13_1,281_SCA_CA13,Newnham Croft,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#A13,https://greatercambridgeplanning.org/media/1627/newnham-croft-conservation-area-appraisal-2013.pdf,area-appraisal,Extra documents are available. This has been collected by MHCLG,,,
D_281_SCA_CA13_2,281_SCA_CA13,Newnham Croft,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#A13,https://greatercambridgeplanning.org/media/1640/newnham-croft-conservation-area-map.pdf,area-map,Extra documents are available. This has been collected by MHCLG,,,
D_281_SCA_CA14_1,281_SCA_CA14,Riverside and Stourbridge Common,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#A14,https://greatercambridgeplanning.org/media/1629/riverside-and-stourbridge-common-conservation-area-appraisal-2012.pdf,area-appraisal,Extra documents are available. This has been collected by MHCLG,,,
D_281_SCA_CA14_2,281_SCA_CA14,Riverside and Stourbridge Common,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#A14,https://greatercambridgeplanning.org/media/1642/riverside-and-stourbridge-common-conservation-area-map.pdf,area-map,Extra documents are available. This has been collected by MHCLG,,,
D_281_SCA_CA15_1,281_SCA_CA15,Southacre,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#A15,https://greatercambridgeplanning.org/media/1631/southacre-conservation-area-appraisal-2013.pdf,area-appraisal,Extra documents are available. This has been collected by MHCLG,,,
D_281_SCA_CA15_2,281_SCA_CA15,Southacre,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#A15,https://greatercambridgeplanning.org/media/1630/southacre-conservation-area-map.jpg,area-map,Extra documents are available. This has been collected by MHCLG,,,
D_281_SCA_CA16_1,281_SCA_CA16,Storey’s Way,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#A16,https://greatercambridgeplanning.org/media/1633/storeys-way-conservation-area-appraisal-2018.pdf,area-appraisal,Extra documents are available. This has been collected by MHCLG,,,
D_281_SCA_CA16_2,281_SCA_CA16,Storey’s Way,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#A16,https://greatercambridgeplanning.org/media/1632/storeys-way-conservation-area-map.jpg,area-map,Extra documents are available. This has been collected by MHCLG,,,
D_281_SCA_CA17_1,281_SCA_CA17,Trumpington,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#A17,https://greatercambridgeplanning.org/media/1636/trumpington-conservation-area-appraisal-2010.pdf,area-appraisal,Extra documents are available. This has been collected by MHCLG,,,
D_281_SCA_CA17_2,281_SCA_CA17,Trumpington,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#A17,https://greatercambridgeplanning.org/media/1635/trumpington-conservation-area-map.jpg,area-map,Extra documents are available. This has been collected by MHCLG,,,
D_281_SCA_CA18_1,281_SCA_CA18,West Cambridge,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#A18,https://greatercambridgeplanning.org/media/1637/west-cambridge-conservation-area-appraisal-2011.pdf,area-appraisal,Extra documents are available. This has been collected by MHCLG,,,
D_281_SCA_CA18_2,281_SCA_CA18,West Cambridge,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#A18,https://greatercambridgeplanning.org/media/1644/west-cambridge-conservation-area-map.pdf,area-map,Extra documents are available. This has been collected by MHCLG,,,
D_281_SCA_CA19_1,281_SCA_CA19,Abington Pigotts - High Street,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#A01,No Appraisal document,area-appraisal,This has been collected by MHCLG,,,
D_281_SCA_CA19_2,281_SCA_CA19,Abington Pigotts - High Street,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#A01,https://greatercambridgeplanning.org/media/2201/abington-pigotts-conservation-area-boundary-map.pdf,area-map,This has been collected by MHCLG,,,
D_281_SCA_CA20_1,281_SCA_CA20,Abington Pigotts - St Michael's,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a02,No Appraisal document,area-appraisal,This has been collected by MHCLG,,,
D_281_SCA_CA20_2,281_SCA_CA20,Abington Pigotts - St Michael's,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a02,https://greatercambridgeplanning.org/media/2201/abington-pigotts-conservation-area-boundary-map.pdf,area-map,This has been collected by MHCLG,,,
D_281_SCA_CA21_1,281_SCA_CA21,Babraham,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#A03,No Appraisal document,area-appraisal,This has been collected by MHCLG,,,
D_281_SCA_CA21_2,281_SCA_CA21,Babraham,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#A03,https://greatercambridgeplanning.org/media/2202/babraham-conservation-area-boundary-map.pdf,area-map,This has been collected by MHCLG,,,
D_281_SCA_CA22_1,281_SCA_CA22,Baits Bite Lock,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a50,https://greatercambridgeplanning.org/media/1564/baits-bite-lock-conservation-area-appraisal-2006.pdf,area-appraisal,Extra documents are available. This has been collected by MHCLG,,,
D_281_SCA_CA22_2,281_SCA_CA22,Baits Bite Lock,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a50,https://greatercambridgeplanning.org/media/2532/baits_bite_lock_milton.pdf,area-map,Extra documents are available. This has been collected by MHCLG,,,
D_281_SCA_CA23_1,281_SCA_CA23,Balsham - Village Centre,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a04,No Appraisal document,area-appraisal,This has been collected by MHCLG,,,
D_281_SCA_CA23_2,281_SCA_CA23,Balsham - Village Centre,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a04,https://greatercambridgeplanning.org/media/2203/balsham-conservation-area-boundary-map.pdf,area-map,This has been collected by MHCLG,,,
D_281_SCA_CA24_1,281_SCA_CA24,Balsham - West End,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a05,No Appraisal document,area-appraisal,This has been collected by MHCLG,,,
D_281_SCA_CA24_2,281_SCA_CA24,Balsham - West End,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a05,https://greatercambridgeplanning.org/media/2203/balsham-conservation-area-boundary-map.pdf,area-map,This has been collected by MHCLG,,,
D_281_SCA_CA25_1,281_SCA_CA25,Barrington,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a06,https://greatercambridgeplanning.org/media/2436/adopted_accessible_conservation_area_appraisal_barrington_final.pdf,area-appraisal,Extra documents are available. This has been collected by MHCLG,,,
D_281_SCA_CA25_2,281_SCA_CA25,Barrington,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a06,https://greatercambridgeplanning.org/media/2435/barrington_2022.pdf,area-map,Extra documents are available. This has been collected by MHCLG,,,
D_281_SCA_CA26_1,281_SCA_CA26,Bartlow,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a06,https://greatercambridgeplanning.org/media/2436/adopted_accessible_conservation_area_appraisal_barrington_final.pdf,area-appraisal,Extra documents are available. This has been collected by MHCLG,,,
D_281_SCA_CA26_2,281_SCA_CA26,Bartlow,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a06,https://greatercambridgeplanning.org/media/2435/barrington_2022.pdf,area-map,Extra documents are available. This has been collected by MHCLG,,,
D_281_SCA_CA27_1,281_SCA_CA27,Barton - St Peter's,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a08,No Appraisal document,area-appraisal,This has been collected by MHCLG,,,
D_281_SCA_CA27_2,281_SCA_CA27,Barton - St Peter's,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a08,https://greatercambridgeplanning.org/media/2231/barton-conservation-area-boundary-map.pdf,area-map,This has been collected by MHCLG,,,
D_281_SCA_CA28_1,281_SCA_CA28,Barton - Wimpole Rd,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a09,No Appraisal document,area-appraisal,This has been collected by MHCLG,,,
D_281_SCA_CA28_2,281_SCA_CA28,Barton - Wimpole Rd,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a09,https://greatercambridgeplanning.org/media/2231/barton-conservation-area-boundary-map.pdf,area-map,This has been collected by MHCLG,,,
D_281_SCA_CA29_1,281_SCA_CA29,Bassingbourn,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a010,No Appraisal document,area-appraisal,This has been collected by MHCLG,,,
D_281_SCA_CA29_2,281_SCA_CA29,Bassingbourn,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a010,https://greatercambridgeplanning.org/media/2205/bassingbourn-conservation-area-boundary-map.pdf,area-map,This has been collected by MHCLG,,,
D_281_SCA_CA30_1,281_SCA_CA30,Bourn - Caxton End,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a011,No Appraisal document,area-appraisal,This has been collected by MHCLG,,,
D_281_SCA_CA30_2,281_SCA_CA30,Bourn - Caxton End,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a011,https://greatercambridgeplanning.org/media/2206/bourn-conservation-area-boundary-map.pdf,area-map,This has been collected by MHCLG,,,
D_281_SCA_CA31_1,281_SCA_CA31,Bourn - Village & Hall,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a012,No Appraisal document,area-appraisal,This has been collected by MHCLG,,,
D_281_SCA_CA31_2,281_SCA_CA31,Bourn - Village & Hall,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a012,https://greatercambridgeplanning.org/media/2206/bourn-conservation-area-boundary-map.pdf,area-map,This has been collected by MHCLG,,,
D_281_SCA_CA32_1,281_SCA_CA32,Caldecote,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a013,No Appraisal document,area-appraisal,This has been collected by MHCLG,,,
D_281_SCA_CA32_2,281_SCA_CA32,Caldecote,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a013,https://greatercambridgeplanning.org/media/2207/caldecote-conservation-area-boundary-map.pdf,area-map,This has been collected by MHCLG,,,
D_281_SCA_CA33_1,281_SCA_CA33,Castle Camps,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a014,No Appraisal document,area-appraisal,This has been collected by MHCLG,,,
D_281_SCA_CA33_2,281_SCA_CA33,Castle Camps,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a014,https://greatercambridgeplanning.org/media/2208/castle-camps-conservation-area-boundary-map.pdf,area-map,This has been collected by MHCLG,,,
D_281_SCA_CA34_1,281_SCA_CA34,Caxton,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a015,No Appraisal document,area-appraisal,This has been collected by MHCLG,,,
D_281_SCA_CA34_2,281_SCA_CA34,Caxton,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a015,https://greatercambridgeplanning.org/media/2209/caxton-conservation-area-boundary-map.pdf,area-map,This has been collected by MHCLG,,,
D_281_SCA_CA35_1,281_SCA_CA35,Comberton - St Mary's,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a016,No Appraisal document,area-appraisal,This has been collected by MHCLG,,,
D_281_SCA_CA35_2,281_SCA_CA35,Comberton - St Mary's,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a016,https://greatercambridgeplanning.org/media/2210/comberton-conservation-area-boundary-map.pdf,area-map,This has been collected by MHCLG,,,
D_281_SCA_CA36_1,281_SCA_CA36,Comberton - Village,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a017,No Appraisal document,area-appraisal,This has been collected by MHCLG,,,
D_281_SCA_CA36_2,281_SCA_CA36,Comberton - Village,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a017,https://greatercambridgeplanning.org/media/2210/comberton-conservation-area-boundary-map.pdf,area-map,This has been collected by MHCLG,,,
D_281_SCA_CA37_1,281_SCA_CA37,Coton,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a018,No Appraisal document,area-appraisal,This has been collected by MHCLG,,,
D_281_SCA_CA37_2,281_SCA_CA37,Coton,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a018,https://greatercambridgeplanning.org/media/2211/coton-conservation-area-boundary-map.pdf,area-map,This has been collected by MHCLG,,,
D_281_SCA_CA38_1,281_SCA_CA38,Cottenham,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a019,No Appraisal document,area-appraisal,This has been collected by MHCLG,,,
D_281_SCA_CA38_2,281_SCA_CA38,Cottenham,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a019,https://greatercambridgeplanning.org/media/2212/cottenham-conservation-area-boundary-map.pdf,area-map,This has been collected by MHCLG,,,
D_281_SCA_CA39_1,281_SCA_CA39,Croxton,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a020,No Appraisal document,area-appraisal,This has been collected by MHCLG,,,
D_281_SCA_CA39_2,281_SCA_CA39,Croxton,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a020,https://greatercambridgeplanning.org/media/2213/croxton-conservation-area-boundary-map.pdf,area-map,This has been collected by MHCLG,,,
D_281_SCA_CA40_1,281_SCA_CA40,Duxford,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a021,No Appraisal document,area-appraisal,This has been collected by MHCLG,,,
D_281_SCA_CA40_2,281_SCA_CA40,Duxford,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a021,https://greatercambridgeplanning.org/media/2214/duxford-conservation-area-boundary-map.pdf,area-map,This has been collected by MHCLG,,,
D_281_SCA_CA41_1,281_SCA_CA41,Duxford Airfield,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a51,https://greatercambridgeplanning.org/media/1567/duxford-airfield-conservation-area-appraisal-2007-without-maps.pdf,area-appraisal,Extra documents are available. This has been collected by MHCLG,,,
D_281_SCA_CA41_2,281_SCA_CA41,Duxford Airfield,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a51,https://greatercambridgeplanning.org/media/2590/duxford_airfield_230622.pdf,area-map,Extra documents are available. This has been collected by MHCLG,,,
D_281_SCA_CA42_1,281_SCA_CA42,Elsworth,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a022,No Appraisal document,area-appraisal,This has been collected by MHCLG,,,
D_281_SCA_CA42_2,281_SCA_CA42,Elsworth,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a022,https://greatercambridgeplanning.org/media/2215/elsworth-conservation-area-boundary-map.pdf,area-map,This has been collected by MHCLG,,,
D_281_SCA_CA43_1,281_SCA_CA43,Eltisley,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a023,No Appraisal document,area-appraisal,This has been collected by MHCLG,,,
D_281_SCA_CA43_2,281_SCA_CA43,Eltisley,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a023,https://greatercambridgeplanning.org/media/2216/eltisley-conservation-area-boundary-map.pdf,area-map,This has been collected by MHCLG,,,
D_281_SCA_CA44_1,281_SCA_CA44,Fen Ditton,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a52,https://greatercambridgeplanning.org/media/1568/fen-ditton-conservation-area-appraisal-2006.pdf,area-appraisal,Extra documents are available. This has been collected by MHCLG,,,
D_281_SCA_CA44_2,281_SCA_CA44,Fen Ditton,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a52,https://greatercambridgeplanning.org/media/1568/fen-ditton-conservation-area-appraisal-2006.pdf,area-map,Extra documents are available. This has been collected by MHCLG,,,
D_281_SCA_CA45_1,281_SCA_CA45,Fen Drayton,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a024,No Appraisal document,area-appraisal,This has been collected by MHCLG,,,
D_281_SCA_CA45_2,281_SCA_CA45,Fen Drayton,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a024,https://greatercambridgeplanning.org/media/2217/fen-drayton-conservation-area-boundary-map.pdf,area-map,This has been collected by MHCLG,,,
D_281_SCA_CA46_1,281_SCA_CA46,Fowlmere,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a025,No Appraisal document,area-appraisal,This has been collected by MHCLG,,,
D_281_SCA_CA46_2,281_SCA_CA46,Fowlmere,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a025,https://greatercambridgeplanning.org/media/2218/fowlmere-conservation-area-boundary-map.pdf,area-map,This has been collected by MHCLG,,,
D_281_SCA_CA47_1,281_SCA_CA47,Foxton,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a53,https://greatercambridgeplanning.org/media/1569/foxton_conservation_area_appraisal_2018.pdf,area-appraisal,Extra documents are available. This has been collected by MHCLG,,,
D_281_SCA_CA47_2,281_SCA_CA47,Foxton,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a53,https://greatercambridgeplanning.org/media/1570/foxton_conservation_area_maps_2018.pdf,area-map,Extra documents are available. This has been collected by MHCLG,,,
D_281_SCA_CA48_1,281_SCA_CA48,Fulbourn,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a54,https://greatercambridgeplanning.org/media/2337/adopted-fulbourn-and-fulbourn-hospital-conservation-area-appraisal-2021_.pdf,area-appraisal,Extra documents are available. This has been collected by MHCLG,,,
D_281_SCA_CA48_2,281_SCA_CA48,Fulbourn,https://greatercambridgeplanning.org/design-heritage-and-environment/historic-environment/conservation-areas/conservation-area-appraisals/#a54,https://greatercambridgeplanning.org/media/2430/fulbourn_2021.pdf,area-map,Extra documents are available. This has been collected by MHCLG,,,
