reference,name,designation-date,document-url,documentation-url,notes,entry_date,start_date,end_date,entity
WYO_393_CA_29,"Leigh Street Furniture Heritage",,"https://www.buckinghamshire.gov.uk/documents/15734/Leigh-Street-CAA.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/","  Extra documents are available. ",,,,44009429.0
WYO_393_CA_30,"Little Marlow",,"https://www.buckinghamshire.gov.uk/documents/15741/Little-Marlow-conservation-area.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/","  Best Map is shown on page 3 of the appraisal document. ",,,,44009430.0
WYO_393_CA_31,"Loosley Row",,"https://buckinghamshire-gov-uk.s3.amazonaws.com/documents/Loosley-Row-conservation-area.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/","  Best Map is shown on page 3 of the appraisal document. ",,,,44009432.0
WYO_393_CA_32,"Marlow",,"https://www.buckinghamshire.gov.uk/documents/15772/Marlow-conservation-area-character-survey.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/","  Best Map is shown on page 17 of the appraisal document. ",,,,44009433.0
WYO_393_CA_33,"Meadle",,"https://buckinghamshire-gov-uk.s3.amazonaws.com/documents/Meadle-conservation-area.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/","  Best Map is shown on page 3 of the appraisal document. ",,,,44009434.0
WYO_393_CA_34,"Medmenham",,"https://buckinghamshire-gov-uk.s3.amazonaws.com/documents/Medmenham-Conservation-Area-Part-2.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/","  Extra documents are available.  Best Map is shown on page 2, P3 of the appraisal document. ",,,,44009436.0
WYO_393_CA_35,"Mill End, Hambleden",,"","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/","No Appraisal document. Just some text on the list page ",,,,44009437.0
WYO_393_CA_36,"Monks Risborough",,"https://buckinghamshire-gov-uk.s3.amazonaws.com/documents/Monks-risborough-conservation-area.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/","2 part appraisal  Best Map is shown on page 3 of the appraisal document. ",,,,44009438.0
WYO_393_CA_37,"Northend",,"https://www.buckinghamshire.gov.uk/documents/15786/Northend-conservation-area.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/","  Best Map is shown on page 3 of the appraisal document. ",,,,44009439.0
WYO_393_CA_38,"Owlswick",,"https://buckinghamshire-gov-uk.s3.amazonaws.com/documents/Owlswick-conservation-area.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/","  Best Map is shown on page 3 of the appraisal document. ",,,,44009440.0
WYO_393_CA_39,"Penn and Tylers Green",,"https://www.buckinghamshire.gov.uk/documents/15797/Penn-and-Tylers-Green-Conservation-Area-Appraisal.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/","  Extra documents are available. ",,,,44009441.0
WYO_393_CA_40,"Pheasants Hill",,"","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/","No Appraisal document. Just some text on the list page ",,,,44009443.0
WYO_393_CA_41,"Princes Risborough",,"https://buckinghamshire-gov-uk.s3.amazonaws.com/documents/Princes-Risborough-conservation-area-character-survey.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/","  Best Map is shown on page 3 of the appraisal document. ",,,,44009444.0
WYO_393_CA_42,"Priory Avenue",,"https://buckinghamshire-gov-uk.s3.amazonaws.com/documents/Priory-Avenue-conservation-area-appraisal.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/","  Best Map is shown on page 20 of the appraisal document. ",,,,44009445.0
WYO_393_CA_43,"Sheepridge",,"https://buckinghamshire-gov-uk.s3.amazonaws.com/documents/Sheepridge-conservation-area-character-survey.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/","  Best Map is shown on page 2 of the appraisal document. ",,,,44009446.0
