reference,name,designation-date,document-url,documentation-url,notes,entry_date,start_date,end_date,entity
HAE_154_CA_40,"Stokesley",,"https://www.northyorks.gov.uk/sites/default/files/fileroot/planning_migrated/heritage_conservation_areas_and_listed_buildings/Stokesley_conservation_area_appraisal.compressed.pdf","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-hambleton/conservation-areas"," ",,1988-02-23,,44004777.0
HAE_154_CA_41,"Sutton-on-the-Forest",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-hambleton/list-conservation-areas","No Appraisal document.  ",,1971-05-08,,44000508.0
HAE_154_CA_42,"Sutton-under-Whitestonecliffe",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-hambleton/list-conservation-areas","No Appraisal document.  ",,1990-10-23,,44000354.0
HAE_154_CA_43,"Thimbleby",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-hambleton/list-conservation-areas","No Appraisal document.  ",,1984-04-22,,44000364.0
HAE_154_CA_44,"Thirsk and Sowerby",,"https://www.northyorks.gov.uk/sites/default/files/fileroot/planning_migrated/heritage_conservation_areas_and_listed_buildings/Thirsk_conservation_area_appraisal_compressed.pdf","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-hambleton/conservation-areas"," ",,1990-02-27,,44004776.0
HAE_154_CA_45,"Thornton Watlass",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-hambleton/list-conservation-areas","No Appraisal document.  ",,1989-02-24,,44000509.0
HAE_154_CA_46,"Tollerton",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-hambleton/list-conservation-areas","No Appraisal document.  ",,1994-12-08,,44000355.0
HAE_154_CA_47,"Topcliffe",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-hambleton/list-conservation-areas","No Appraisal document.  ",,1994-12-08,,44000510.0
HAE_154_CA_48,"Well",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-hambleton/list-conservation-areas","No Appraisal document.  ",,1989-10-24,,44000353.0
HAE_154_CA_49,"West Tanfield",,"","https://www.northyorks.gov.uk/planning-and-conservation/heritage-conservation-areas-and-listed-buildings/heritage-conservation-areas-and-listed-buildings-hambleton/list-conservation-areas","No Appraisal document.  ",,1994-12-08,,44000500.0
