reference,conservation-area,name,documentation-url,document-url,document-type,notes,entry_date,start_date,end_date,entity
D_HAO_158_CA_22_1,HAO_158_CA_22,"Hallaton","https://www.harborough.gov.uk/directory/20/a_to_z/H","",area-appraisal,,,2005-03-09,,44009351.0
D_HAO_158_CA_22_2,HAO_158_CA_22,"Hallaton","https://www.harborough.gov.uk/directory/20/a_to_z/H",https://www.harborough.gov.uk/download/downloads/id/1631/hallaton_conservation_area_mappdf.pdf,area-map,,,2005-03-09,,44009351.0
D_HAO_158_CA_23_1,HAO_158_CA_23,"Horninghold","https://www.harborough.gov.uk/directory/20/a_to_z/H","",area-appraisal,,,2005-03-09,,44009352.0
D_HAO_158_CA_23_2,HAO_158_CA_23,"Horninghold","https://www.harborough.gov.uk/directory/20/a_to_z/H",https://www.harborough.gov.uk/download/downloads/id/1632/horninghold_conservation_area_mappdf.pdf,area-map,,,2005-03-09,,44009352.0
D_HAO_158_CA_24_1,HAO_158_CA_24,"Houghton on the Hill","https://www.harborough.gov.uk/directory/20/a_to_z/H","",area-appraisal,,,2005-05-18,,44009353.0
D_HAO_158_CA_24_2,HAO_158_CA_24,"Houghton on the Hill","https://www.harborough.gov.uk/directory/20/a_to_z/H",https://www.harborough.gov.uk/download/downloads/id/1633/houghton_on_the_hill_conservation_area_mappdf.pdf,area-map,,,2005-05-18,,44009353.0
D_HAO_158_CA_25_1,HAO_158_CA_25,"Hungarton","https://www.harborough.gov.uk/directory/20/a_to_z/H","",area-appraisal,,,2006-07-10,,44009354.0
D_HAO_158_CA_25_2,HAO_158_CA_25,"Hungarton","https://www.harborough.gov.uk/directory/20/a_to_z/H",https://www.harborough.gov.uk/download/downloads/id/1634/hungarton_conservation_area_mappdf.pdf,area-map,,,2006-07-10,,44009354.0
D_HAO_158_CA_26_1,HAO_158_CA_26,"Husbands Bosworth","https://www.harborough.gov.uk/directory/20/a_to_z/H","",area-appraisal,,,2007-07-16,,44009355.0
D_HAO_158_CA_26_2,HAO_158_CA_26,"Husbands Bosworth","https://www.harborough.gov.uk/directory/20/a_to_z/H",https://www.harborough.gov.uk/download/downloads/id/1635/husbands_bosworth_conservation_area_mappdf.pdf,area-map,,,2007-07-16,,44009355.0
D_HAO_158_CA_27_1,HAO_158_CA_27,"Illston on the Hill","https://www.harborough.gov.uk/directory/20/a_to_z/I","",area-appraisal,,,2007-07-16,,44009356.0
D_HAO_158_CA_27_2,HAO_158_CA_27,"Illston on the Hill","https://www.harborough.gov.uk/directory/20/a_to_z/I",https://www.harborough.gov.uk/download/downloads/id/1636/illston_on_the_hill_conservation_area_mappdf.pdf,area-map,,,2007-07-16,,44009356.0
D_HAO_158_CA_28_1,HAO_158_CA_28,"Keyham","https://www.harborough.gov.uk/directory/20/a_to_z/K","",area-appraisal,,,2006-07-10,,44009357.0
