reference,conservation-area,name,documentation-url,document-url,document-type,notes,entry_date,start_date,end_date,ca_entity
D_271_ROT_CA20_1,271_ROT_CA20,"Dinnington","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2","",area-appraisal,"Polygons on interactive map. No appraisal document",,,,44006188
D_271_ROT_CA20_2,271_ROT_CA20,"Dinnington","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2",https://maps.rotherham.gov.uk/mapping/Map.aspx?MapName=LocalPlan,area-map,"Polygons on interactive map. No appraisal document",,,,44006188
D_271_ROT_CA21_1,271_ROT_CA21,"Gildingwells","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2","",area-appraisal,"Polygons on interactive map. No appraisal document",,,,44006189
D_271_ROT_CA21_2,271_ROT_CA21,"Gildingwells","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2",https://maps.rotherham.gov.uk/mapping/Map.aspx?MapName=LocalPlan,area-map,"Polygons on interactive map. No appraisal document",,,,44006189
D_271_ROT_CA22_1,271_ROT_CA22,"North Anston","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2","",area-appraisal,"Polygons on interactive map. No appraisal document",,,,44006192
D_271_ROT_CA22_2,271_ROT_CA22,"North Anston","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2",https://maps.rotherham.gov.uk/mapping/Map.aspx?MapName=LocalPlan,area-map,"Polygons on interactive map. No appraisal document",,,,44006192
D_271_ROT_CA23_1,271_ROT_CA23,"Wales","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2","",area-appraisal,"Polygons on interactive map. No appraisal document",,,,44006182
D_271_ROT_CA23_2,271_ROT_CA23,"Wales","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2",https://maps.rotherham.gov.uk/mapping/Map.aspx?MapName=LocalPlan,area-map,"Polygons on interactive map. No appraisal document",,,,44006182
D_271_ROT_CA24_1,271_ROT_CA24,"South Anston","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2","",area-appraisal,"Polygons on interactive map. No appraisal document",,,,44006191
D_271_ROT_CA24_2,271_ROT_CA24,"South Anston","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2",https://maps.rotherham.gov.uk/mapping/Map.aspx?MapName=LocalPlan,area-map,"Polygons on interactive map. No appraisal document",,,,44006191
D_271_ROT_CA25_1,271_ROT_CA25,"Woodsetts","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2","",area-appraisal,"Polygons on interactive map. No appraisal document",,,,44006190
D_271_ROT_CA25_2,271_ROT_CA25,"Woodsetts","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2",https://maps.rotherham.gov.uk/mapping/Map.aspx?MapName=LocalPlan,area-map,"Polygons on interactive map. No appraisal document",,,,44006190
D_271_ROT_CA26_1,271_ROT_CA26,"Harthill","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2","",area-appraisal,"Polygons on interactive map. No appraisal document",,,,44006181
D_271_ROT_CA26_2,271_ROT_CA26,"Harthill","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2",https://maps.rotherham.gov.uk/mapping/Map.aspx?MapName=LocalPlan,area-map,"Polygons on interactive map. No appraisal document",,,,44006181
D_271_ROT_CA27_1,271_ROT_CA27,"Thorpe Salvin","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2","",area-appraisal,"Polygons on interactive map. No appraisal document",,,,44006199
D_271_ROT_CA27_2,271_ROT_CA27,"Thorpe Salvin","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2",https://maps.rotherham.gov.uk/mapping/Map.aspx?MapName=LocalPlan,area-map,"Polygons on interactive map. No appraisal document",,,,44006199
D_271_ROT_CA28_1,271_ROT_CA28,"Moorgate","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2","",area-appraisal,"Polygons on interactive map. No appraisal document",,,,44006174
D_271_ROT_CA28_2,271_ROT_CA28,"Moorgate","https://www.rotherham.gov.uk/conservation-regeneration/built-heritage-archaeology-2",https://maps.rotherham.gov.uk/mapping/Map.aspx?MapName=LocalPlan,area-map,"Polygons on interactive map. No appraisal document",,,,44006174
