reference,name,designation-date,document-url,documentation-url,geometry,point,notes,entry_date,start_date,end_date,entity
DBC7263,"Fawley Green",,"https://www.buckinghamshire.gov.uk/documents/15689/fawley-green-conservation-area.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,,"Fawley and Fawley Green are two areas in the same entity Extra documents are available. ",,,,44009413
DBC7262,"Fawley Court",,"https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,,"Just some text on the list page",,,,44009411
DBC7264,"Fingest",,"https://www.buckinghamshire.gov.uk/documents/15690/Fingest-conservation-area-character-survey.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,," Best Map is shown on page 3 of the appraisal document. ",,,,44009414
DBC7265,"Four Ashes",,"https://buckinghamshire-gov-uk.s3.amazonaws.com/documents/Four-ashes-conservation-area.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,," Best Map is shown on page 2 of the appraisal document. ",,,,44009415
DBC7266,"Frieth",,"https://buckinghamshire-gov-uk.s3.amazonaws.com/documents/Frieth-conservation-area-character-survey.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,," Best Map is shown on page 4 of the appraisal document. ",,,,44009416
DBC7267,"Great Hampden",,"https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,,"Just some text on the list page",,,,44009418
DBC7268,"Hambleden",,"https://www.buckinghamshire.gov.uk/documents/15702/Hambleden-conservation-area-character-survey.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,," Extra documents are available. ",,,,44009419
DBC7269,"Hampden House",,"https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,,"Just some text on the list page",,,,44009420
DBC7270,"Harleyford and Whittington House",,"https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,,"Just some text on the list page",,,,44009421
DBC7271,"Hedsor and Riversdale",,"https://www.buckinghamshire.gov.uk/documents/15706/Hedsor-Road-and-Riversdale-Conservation-Area-Appraisal.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,," Extra documents are available. ",,,,44009422
DBC7272,"High Wycombe",,"https://www.buckinghamshire.gov.uk/documents/15713/High-Wycombe-conservation-area-appraisal-introduction.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,,"Multi-part appraisal Extra documents are available. ",,,,44009423
DBC7273,"Horsenden",,"https://www.buckinghamshire.gov.uk/documents/15722/Horsenden-conservation-area-character-appraisal.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,," Extra documents are available. ",,,,44009424
DBC7274,"Hughenden Manor",,"No Appraisal document","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,,"",,,,44009425
DBC7275,"Ilmer",,"https://buckinghamshire-gov-uk.s3.amazonaws.com/documents/Ilmer-conservation-area-character-survey.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,," Best Map is shown on page 3 of the appraisal document. ",,,,44009426
DBC7276,"Lacey Green",,"https://www.buckinghamshire.gov.uk/documents/15731/Lacey-Green-conservation-area.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,," Best Map is shown on page 3 of the appraisal document. ",,,,44009427
DBC7277,"Lane End",,"https://www.buckinghamshire.gov.uk/documents/15732/Lane-End-Conservation-Area-Character-Survey-Part-1.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,,"2 part appraisal and map spans both docs Extra documents are available.  Best Map is shown on page 6 of the appraisal document. ",,,,44009428
DBC7278,"Leigh Street Furniture Heritage",,"https://www.buckinghamshire.gov.uk/documents/15734/Leigh-Street-CAA.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,," Extra documents are available. ",,,,44009429
DBC7279,"Little Marlow",,"https://www.buckinghamshire.gov.uk/documents/15741/Little-Marlow-conservation-area.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,," Best Map is shown on page 3 of the appraisal document. ",,,,44009430
DBC7280,"Loosley Row",,"https://buckinghamshire-gov-uk.s3.amazonaws.com/documents/Loosley-Row-conservation-area.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,," Best Map is shown on page 3 of the appraisal document. ",,,,44009432
DBC7281,"Marlow",,"https://www.buckinghamshire.gov.uk/documents/15772/Marlow-conservation-area-character-survey.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,," Best Map is shown on page 17 of the appraisal document. ",,,,44009433
DBC7282,"Meadle",,"https://buckinghamshire-gov-uk.s3.amazonaws.com/documents/Meadle-conservation-area.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,," Best Map is shown on page 3 of the appraisal document. ",,,,44009434
DBC7283,"Medmenham",,"https://buckinghamshire-gov-uk.s3.amazonaws.com/documents/Medmenham-Conservation-Area-Part-2.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,," Extra documents are available.  Best Map is shown on page 2, P3 of the appraisal document. ",,,,44009436
DBC7284,"Mill End, Hambleden",,"No Appraisal document","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,,"Just some text on the list page",,,,44009437
DBC7285,"Monks Risborough",,"https://buckinghamshire-gov-uk.s3.amazonaws.com/documents/Monks-risborough-conservation-area.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,,"2 part appraisal Best Map is shown on page 3 of the appraisal document. ",,,,44009438
DBC7286,"Northend",,"https://www.buckinghamshire.gov.uk/documents/15786/Northend-conservation-area.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,," Best Map is shown on page 3 of the appraisal document. ",,,,44009439
DBC7287,"Owlswick",,"https://buckinghamshire-gov-uk.s3.amazonaws.com/documents/Owlswick-conservation-area.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,," Best Map is shown on page 3 of the appraisal document. ",,,,44009440
DBC7288,"Penn and Tylers Green",,"https://www.buckinghamshire.gov.uk/documents/15797/Penn-and-Tylers-Green-Conservation-Area-Appraisal.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,," Extra documents are available. ",,,,44009441
DBC7289,"Pheasants Hill",,"No Appraisal document","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,,"Just some text on the list page",,,,44009443
DBC7290,"Princes Risborough",,"https://buckinghamshire-gov-uk.s3.amazonaws.com/documents/Princes-Risborough-conservation-area-character-survey.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,," Best Map is shown on page 3 of the appraisal document. ",,,,44009444
DBC7291,"Priory Avenue",,"https://buckinghamshire-gov-uk.s3.amazonaws.com/documents/Priory-Avenue-conservation-area-appraisal.pdf","https://www.buckinghamshire.gov.uk/planning-and-building-control/conservation-heritage-and-archaeology/heritage/conservation-areas-in-buckinghamshire/",,," Best Map is shown on page 20 of the appraisal document. ",,,,44009445
