reference,conservation-area,name,documentation-url,document-url,document-type,notes,entry_date,start_date,end_date,entity
D_401_1,401,"Kettlewell","https://www.yorkshiredales.org.uk/about/heritage/cultural-heritage/conservation-areas/","https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2019/10/2012-01-16-kettlewell-caa-web.pdf",area-appraisal,,,,,44002778
D_New4883_1,New4883,"Kirby Lonsdale","https://www.yorkshiredales.org.uk/about/heritage/cultural-heritage/conservation-areas/","https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2020/06/Kirkby-Lonsdale-Conservation-Area-Character-Appraisal.pdf",area-appraisal,,,,,
D_New4883_2,New4883,"Kirby Lonsdale","https://www.yorkshiredales.org.uk/about/heritage/cultural-heritage/conservation-areas/",https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2020/06/Kirkby-Lonsdale-Conservation-Area-Map.pdf,area-map,,,,,
D_407_1,407,"Langcliffe","https://www.yorkshiredales.org.uk/about/heritage/cultural-heritage/conservation-areas/","https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2019/10/2010-12-03_gir_langcliffe_ca_appraisal_final.pdf",area-appraisal,,,,,44005140
D_408_1,408,"Linton","https://www.yorkshiredales.org.uk/about/heritage/cultural-heritage/conservation-areas/","https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2019/10/linton_conservation_area.pdf",area-appraisal,,,,,44002784
D_410_1,410,"Long Preston","https://www.yorkshiredales.org.uk/about/heritage/cultural-heritage/conservation-areas/","https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2019/10/careview-longpreston-full-final.pdf",area-appraisal,,,,,44005144
D_413_1,413,"Muker","https://www.yorkshiredales.org.uk/about/heritage/cultural-heritage/conservation-areas/","https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2019/10/muker_conservation_area_character_appraisal_26-3-02_with_map-3.pdf",area-appraisal,,,,,44002787
D_9158_1,9158,"Orton","https://www.yorkshiredales.org.uk/about/heritage/cultural-heritage/conservation-areas/","https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2020/06/Orton-Conservation-Area-Character-Appraisal.pdf",area-appraisal,,,,,44003006
D_1838_1,1838,"Ravenstonedale","https://www.yorkshiredales.org.uk/about/heritage/cultural-heritage/conservation-areas/","https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2020/06/Ravenstonedale-Conservation-Area-Character-Appraisal.pdf",area-appraisal,,,,,44002998
D_415_1,415,"Reeth","https://www.yorkshiredales.org.uk/about/heritage/cultural-heritage/conservation-areas/","https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2019/10/reeth_conservation_area_character_appraisal_27-11-01_with_map-3.pdf",area-appraisal,,,,,44002789
D_418_1,418,"Sedburgh","https://www.yorkshiredales.org.uk/about/heritage/cultural-heritage/conservation-areas/","https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2019/10/careview-sedbergh-main.pdf",area-appraisal,,,,,44005136
D_418_2,418,"Sedburgh","https://www.yorkshiredales.org.uk/about/heritage/cultural-heritage/conservation-areas/",https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2019/10/careview-sedbergh-maps.pdf,area-map,,,,,44005136
D_421_1,421,"Settle","https://www.yorkshiredales.org.uk/about/heritage/cultural-heritage/conservation-areas/","https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2019/10/careview-settle-full-final.pdf.pdf",area-appraisal,,,,,44005141
D_437_1,437,"Settle - Carlisle Railway","https://www.yorkshiredales.org.uk/about/heritage/cultural-heritage/conservation-areas/","https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2019/10/careview-settlecarlislerailway-full-final.pdf",area-appraisal,,,,,44005139
D_424_1,424,"Starbotton","https://www.yorkshiredales.org.uk/about/heritage/cultural-heritage/conservation-areas/","https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2019/10/2011-11-02-starbotton-caa-web.pdf",area-appraisal,,,,,44002777
D_431_1,431,"Swaledale and Arkengarthdale barns and walls","https://www.yorkshiredales.org.uk/about/heritage/cultural-heritage/conservation-areas/","https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2019/10/2014-12-15_gir-S-and-A-Barns-and-Walls-CA-Appraisal-FINAL.pdf",area-appraisal,,,,,44005147
D_426_1,426,"Thwaite","https://www.yorkshiredales.org.uk/about/heritage/cultural-heritage/conservation-areas/","https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2019/10/thwaite_conservation_area_character_appraisal_01-01-01_with_map-3.pdf",area-appraisal,,,,,44002786
D_428_1,428,"West Burton","https://www.yorkshiredales.org.uk/about/heritage/cultural-heritage/conservation-areas/","https://www.yorkshiredales.org.uk/wp-content/uploads/sites/13/2019/10/west_burton_conservation_area_character_appraisal_30-11-99_with_map-2.pdf",area-appraisal,,,,,44002770
