D_38_BAS_CA9_1,38_BAS_CA9,"Pensford","https://beta.bathnes.gov.uk/view-conservation-area-character-appraisals","https://beta.bathnes.gov.uk/sites/default/files/2020-01/pensford_ca_v3.pdf",area-appraisal,"Best Map is shown on page 8,9 of the appraisal document. ",local-authority:BAS,,,,44000197
D_38_BAS_CA10_1,38_BAS_CA10,"Queen Charlton","https://beta.bathnes.gov.uk/view-conservation-area-character-appraisals","https://beta.bathnes.gov.uk/sites/default/files/2020-01/queen_charlton_caca_25_06_18.pdf",area-appraisal,"",local-authority:BAS,,,,44006776
D_38_BAS_CA10_2,38_BAS_CA10,"Queen Charlton","https://beta.bathnes.gov.uk/view-conservation-area-character-appraisals",https://beta.bathnes.gov.uk/sites/default/files/2020-01/queencharlton_characterappraisalmap_210618.pdf,area-map,"",local-authority:BAS,,,,44006776
D_38_BAS_CA11_1,38_BAS_CA11,"Radstock","https://beta.bathnes.gov.uk/view-conservation-area-character-appraisals","https://beta.bathnes.gov.uk/sites/default/files/2020-01/conservation_area_assessment_radstock_1999.pdf",area-appraisal,"Best Map is shown on page 23 of the appraisal document. ",local-authority:BAS,,,,44000204
D_38_BAS_CA12_1,38_BAS_CA12,"Saltford","https://beta.bathnes.gov.uk/view-conservation-area-character-appraisals","https://beta.bathnes.gov.uk/sites/default/files/2020-01/saltford_caca_25_06_18.pdf",area-appraisal,"Best Map is shown on page 19 of the appraisal document. ",local-authority:BAS,,,,44006777
D_38_BAS_CA13_1,38_BAS_CA13,"South Stoke","https://beta.bathnes.gov.uk/view-conservation-area-character-appraisals","https://beta.bathnes.gov.uk/sites/default/files/2020-01/south_stoke_conservation_area_appraisal_june_2014.pdf",area-appraisal,"Best Map is shown on page 10,11 of the appraisal document. ",local-authority:BAS,,,,44006637
D_38_BAS_CA14_1,38_BAS_CA14,"Wellow","https://beta.bathnes.gov.uk/view-conservation-area-character-appraisals","https://beta.bathnes.gov.uk/sites/default/files/2020-01/wellow_ca_v7.pdf",area-appraisal,"Best Map is shown on page 10,11 of the appraisal document. ",local-authority:BAS,,,,44000222
D_38_BAS_CA15_1,38_BAS_CA15,"Woollard","https://beta.bathnes.gov.uk/view-conservation-area-character-appraisals","https://beta.bathnes.gov.uk/sites/default/files/2020-01/woollard_ca_v2.pdf",area-appraisal,"Best Map is shown on page 8,9 of the appraisal document. ",local-authority:BAS,,,,44000202
D_38_BAS_CA16_1,38_BAS_CA16,"Ubley","None, https://beta.bathnes.gov.uk/development-plan","No appraisal document",area-appraisal,"Polygons on interactive map, no other information",local-authority:BAS,,,,44000205
D_38_BAS_CA17_1,38_BAS_CA17,"Compton Martin","None, https://beta.bathnes.gov.uk/development-plan","No appraisal document",area-appraisal,"Polygons on interactive map, no other information",local-authority:BAS,,,,44000213
D_38_BAS_CA18_1,38_BAS_CA18,"West Harptree","None, https://beta.bathnes.gov.uk/development-plan","No appraisal document",area-appraisal,"Polygons on interactive map, no other information",local-authority:BAS,,,,44000201
D_38_BAS_CA19_1,38_BAS_CA19,"East Harptree","None, https://beta.bathnes.gov.uk/development-plan","No appraisal document",area-appraisal,"Polygons on interactive map, no other information",local-authority:BAS,,,,44000214
D_38_BAS_CA20_1,38_BAS_CA20,"Hinton Charterhouse","None, https://beta.bathnes.gov.uk/development-plan","No appraisal document",area-appraisal,"Polygons on interactive map, no other information",local-authority:BAS,,,,44000217
D_38_BAS_CA21_1,38_BAS_CA21,"Englishcombe","None, https://beta.bathnes.gov.uk/development-plan","No appraisal document",area-appraisal,"Polygons on interactive map, no other information",local-authority:BAS,,,,44000215
reference,conservation-area,name,documentation-url,document-url,document-type,notes,organisation,entry_date,start_date,end_date,ca_entity
D_38_BAS_CA1_1,38_BAS_CA1,"Bath","https://beta.bathnes.gov.uk/view-conservation-area-character-appraisals","No Appraisal document",area-appraisal,"Best Map is shown on page 40 of the appraisal document. ",local-authority:BAS,,,,44006636
